The top 10 users who have tweeted the most for every hour.
Tweet ID:Red_ebooks_, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:mesterman, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:fizz239, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:KirkhamRaine, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:CM_cricket, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:nlp5vercom, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:esasky17, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:ti_updates, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:JoyfulRescues, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Julie34479, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:iamCLax, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:tgslibrary, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Qasim04287327, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:quiziep8jazz101, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:sudantherhino, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Notinaboyband, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:akhwandk, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:AAOLion, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Usman_lost_khan, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Hussain57699269, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:patrickjhoran, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:ExSapperBadMan, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:The_Big_Cricket, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:jukuwellington, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:MattGoldsmith23, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:warufuzakei, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:DarshinL, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:karamchanddass, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:darren_lehmann, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:intouchwyth, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:dhanush_fan_da, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:rathat99, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:sscomp32, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:RiceDicer7, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:KailashnathNath, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:TheRugbyScout, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:agreencow, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:talkSPORT2, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:rmbctious, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:AWBiggs, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Hameedwafa, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:ddavis_37122, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Cherry_Cricket, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:BenWiseMelb, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Pierik_AgeSport, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:ignite_minds, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:barossamag, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:AyeshaR63, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:LilHaitiTing, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:cool_buddi, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Tamworthcricket, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:TCrS_England, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:sanjaysaxena007, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Cricket_TT1, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:ulostwhaaaaa, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:therealfitz_82, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:Ridley0T, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:JessRobertsOzUK, Tweet Time:19/Feb/2018:23, Tweet Count:1
Tweet ID:LouRyll5, Tweet Time:19/Feb/2018:23, Tweet Count:1
